title,director,year,genre,country
['30 свиданий'],['Татьяна Капитан'],['2016'],"['комедия', 'мелодрама']",['Россия']
['30 дней ночи'],['Дэвид Слейд'],['2007'],"['ужасы', 'драма', 'триллер']","['США', 'Новая Зеландия']"
['30 дней до рассвета'],['Андерс Банке'],['2006'],"['фильм ужасов', 'комедия']",['Швеция']
['30 безумных желаний'],['Питер Хатчингс'],"['2018', 'Промо-ролик фильма «30 безумных желаний»']",['независимый кинематограф'],"['\xa0', 'США']"
"['29-я улица (фильм, 1991)']",['Джордж Галло'],['1991'],"['комедия', 'драма']",['США']
"['29 пальм (фильм, 2003)']",['Брюно Дюмон'],['2003'],"['драма', 'роуд-муви']","['Франция', 'Германия', 'США']"
['29 километр (фильм)'],['Леонид Андронов'],['2012'],"['драма', ',', ' ', 'музыкальный фильм']",['Россия']
['28 дней'],['Бетти Томас'],['2000'],"['драма', ', ', 'комедия']",['США']
['28 дней спустя'],['Дэнни Бойл'],"['2002', '17 июля 2003']","['постапокалиптический', ' ', 'фильм ужасов', 'Музыка к фильму']",['Великобритания']
['28 недель спустя'],['Хуан Карлос Фреснадильо'],['2007'],"['постапокалиптический', ' ', 'фильм ужасов']","['Великобритания', 'США', 'Испания']"
['27-й день'],['Уильям Эшер'],['1957'],['научная фантастика'],"['\xa0', 'США']"
['25 ватт'],"['Хуан Пабло Ребелья', 'Пабло Столь']",['2001'],['Комедийная драма'],['Уругвай']
['25-й час'],['Спайк Ли'],['2002'],"['криминальный фильм', 'драма']","['\xa0', 'США']"
['27 секунд памяти'],['Иван Качалин'],['2019'],['документальный'],"['Россия', 'Чехия', 'Нидерланды']"
['27 свадеб'],['Энн Флетчер'],['2008'],['романтическая комедия'],['США']
['24-25 не возвращается'],"['Алоиз Бренч', ' ', 'Ростислав Горяев']",['1968'],"['детективный фильм', ', ', 'драма']",['СССР']
['24 часа: Искупление'],['Джон Кассар'],"['23 ноября', '2008', '25 ноября 2008']","['боевик', 'драматический фильм', 'Музыка к фильму']","['\xa0', 'ЮАР', '\xa0', 'США', 'США']"
['65 (фильм)'],"['Скотт Бек', 'Брайан Вудс']",['2023'],"['научно-фантастический', ' ', 'остросюжетный боевик']","['\xa0', 'США']"
['27 украденных поцелуев'],['Нана Джорджадзе'],['2000'],"['комедия', 'драма', 'мелодрама']","['Грузия', 'Франция', 'Германия', 'Россия']"
['Автор (фильм)'],['Мануэль Мартин Куенка'],['2017'],"['драма ', ' комедия']","['Испания', ' ', 'Мексика']"
['Автомобильные воры'],['Дж. Стюарт Блэктон'],[],['драма'],['США']
