title,director,year,genre,country
['Ближний бой'],['Еркен Ялгашев'],[],['боевик'],"[' ', 'США', ' ', ' ', 'Казахстан']"
['Близкая даль'],['Виталий Кольцов'],['1978'],['драма'],['СССР']
['Ближний круг'],['Андрей Кончаловский'],"['1991', '5 марта', '1992']",['драма'],"['\xa0', 'США', '\xa0', 'СССР', '\xa0', 'Италия']"
['Близкие'],['Ксения Зуева'],['2017'],['драма'],['Россия']
['Близкие контакты третьей степени'],['Стивен Спилберг'],['1977'],"['фантастика', ' ', 'драма']",['США']
"['Боевые искусства Шаолиня (фильм, 1974)']",['Чжан Чэ'],['1974'],"['боевик', 'драма']",['Гонконг']
"['Ближайший родственник (фильм, 1989)']",['Джон Ирвин'],['1989'],['боевик'],['США']
['Боевой шок (фильм)'],['Пол Хенрейд'],['1956'],['Фильм нуар'],['США']
['Боевой киносборник № 12'],"['Герберт Раппопорт', ' ', 'Вера Строева']",['1942'],['военный фильм'],['СССР']
['Боевой конь (фильм)'],['Стивен Спилберг'],['2011'],['\n'],['США']
['Боевой киносборник № 11'],"['Илья Трауберг', ', ', 'Владимир Браун', ', ', 'Николай Садкович', ', ', 'Игорь Земгано']",['1942'],"['военный фильм', ', ', 'драма']",['СССР']
['Боевой фургон'],['Берт Кеннеди'],['1967'],['вестерн'],"['\xa0', 'США']"
['Боевой киносборник № 10'],"['Борис Барнет', ', ', 'Ефим Арон']",['1942'],['военный фильм'],['СССР']
['Большая дорога (фильм)'],['Юрий Озеров'],['1962'],['комедия'],"['СССР', ', ', 'Чехословакия']"
['Боевой киносборник № 9'],"['Марк Донской', ', ', 'Игорь Савченко', ', ', 'Владимир Браун']",['1942'],['военный фильм'],['СССР']
['Большая гонка. Лянча против Ауди'],['Стефано Мордини'],['2024'],['исторический фильм'],"['Италия', 'Великобритания']"
['Большая драка'],['Роберт Клауз'],['1980'],"['боевик', 'комедия']","['США', 'Гонконг']"
['Большая голубая дорога'],['Джилло Понтекорво'],['1957'],['драма'],"['Италия', 'Франция', 'Германия', 'Югославия']"
['Большая вода (фильм)'],['Иво Трайков'],['2004'],['драма'],['Северная Македония']
['Большая война'],['Марио Моничелли'],['1959'],"['комедия', 'военная драма']",['Италия']
['Большая боль'],['Бэрри Пик'],['1985'],"['детектив', 'триллер']","[' ', 'Австралия']"
['Большая белая надежда'],['Мартин Ритт'],['1970'],['драма'],"['\xa0', 'США']"
['Большая белая башня'],['Сацуо Ямамото'],['1966'],['социальная драма'],['Япония']
['Большая белая обуза'],['Марк Майлод'],['2005'],"['драма', 'криминал', 'комедия']",['США']
['Большая автокража'],['Рон Ховард'],['1977'],"['Комедия', ', ', 'криминальный']","[' ', 'США']"
['Больница (фильм)'],['Артур Хиллер'],['1971'],"['сатира', 'комедийная драма', 'чёрная комедия', 'детектив']",['США']
['Большая Америка'],['Майкл Мур'],['1997'],"['документальный', ', ', 'комедия']","[' ', 'США', ' ', 'Великобритания']"
['Большая афера'],['Дон МакКеллар'],['2013'],['комедийный фильм'],"['\xa0', 'Канада', '\xa0', 'США']"
['Больвизер'],['Райнер Вернер Фассбиндер'],"['ФРГ', '1977']",['драма'],[]
"['Боль (фильм, 2009)']",['Барбара Степански'],['2009'],"['триллер', '/', 'драма']",['США']
['Боль чужих сердец'],['Ферзан Озпетек'],['2005'],['драматический фильм'],"['\xa0', 'Италия']"
"['Болото (фильм, 2005)']",['Джим Гиллеспи'],['2005'],['фильм ужасов'],['США']
"['Боль (фильм, 1987)']",['Бигас Луна'],['1987'],['триллер'],['Испания']
['Больная любовь'],['Тудор Джурджу'],['2006'],['Мелодрама'],['Румыния']
['Боль и слава'],['Педро Альмодовар'],['2019'],['драма'],['Испания']
"['Боль (фильм, 2017)']",['Эмманюэль Финкель'],['2017'],"['историко', '-', 'биографическая', ' ', 'военная', ' ', 'драма']","['\xa0', 'Франция']"
"['Болотная street, или Средство против секса']",['Марк Айзенберг'],['1991'],['комедия'],['СССР']
"['Болотная тварь (фильм, 1982)']",['Уэс Крэйвен'],['1982'],['супергеройский фильм'],['США']
['Болотные солдаты (фильм)'],['Александр Мачерет'],['1938'],"['социальная ', 'драма']",['СССР']
"['Болек и Лёлек (фильм, 1936)']",['Михал Вашиньский'],['1936'],['комедия'],['Польша']
"['Болеро (фильм, 1984)']",['Джон Дерек'],['1984'],['мелодрама'],['США']
"['Болота (фильм, 2011)']",['Ги Эдуэн'],['2011'],"['Мелодрама', 'драма']",['Канада']
['Болотная тварь (предстоящий фильм)'],['Джеймс Мэнголд'],[],['\n'],['США']
['Болельщики (фильм)'],['Нери Паренти'],['1999'],['комедия'],[]
['Болезнь любви'],['Жак Дерэ'],['1987'],['драма'],['Франция']
['Болезнь Захса'],['Мишель Девиль'],['1999'],"['комедия, драма']",['Франция']
['Болгарские любовники'],['Элой де ла Иглесиа'],['2003'],"['драма', ', ', 'комедия']",['Испания']
"['Более странно, чем в раю']",['Джим Джармуш'],"['ФРГ', '1984']","['драма', ' с элементами ', 'комедии']",['США']
['Болдын'],"['Чеслав Петельский', ',', ' ', 'Эва Петельская']",['1981'],"['военный фильм, драма, экранизация']","[' ', 'ПНР']"
['Болевой приём (фильм)'],['Георгий Кузнецов'],['1992'],['боевик'],['Россия']
['Болваны из космоса'],['Майк Ходжес'],['1985'],"['комедия', 'фантастика']",['Великобритания']
['Боксирующие мужчины'],"['Уильям Диксон', 'Уильям Хейз']",['1891'],['немое кино'],['США']
['Бокс с кенгуру'],['Макс Складановский'],['1895'],['документальный фильм'],['Германия']
['Бокс (фильм)'],"['Макс Складановский', 'Эмиль Складановский']",['1895'],['документальный фильм'],['Германия']
['Боксёры (фильм)'],['Владимир Гончуков'],['1941'],"['драма', 'спортивный фильм']","['\xa0', 'СССР']"
"['Боксёр (фильм, 1997)']",['Джим Шеридан'],[],['Драма'],['Ирландия']
['Бокерер'],['Франц Антель'],"['ФРГ', '1981']","['драма', 'исторический']",['Австрия']
['Боккаччо-70'],"['Марио Моничелли', 'Федерико Феллини', 'Лукино Висконти', 'Витторио де Сика']",['1962'],['комедия'],"['\xa0', 'Франция', '\xa0', 'Италия']"
['Бок о бок (фильм)'],['Кристофер Кеннилли'],['2012'],['документальный'],"['\xa0', 'США']"
['Бока (фильм)'],"['Уолтер Аванчини', 'Залман Кинг']",['1994'],['драма'],"['США', 'Бразилия']"
['Большая красная единица'],['Сэмюэл Фуллер'],['1980'],"['драма', '/', 'военный']",['США']
['Большая кража'],['Джордж Эрмитаж'],['2004'],['комедия'],['США']
"['Большая любовь (фильм, 2006)']",['Дмитрий Фикс'],['2006'],"['романтическая', ' ', 'комедия', ', ', 'мелодрама']",['Россия']
['Большая новогодняя ночь'],['Ада Неретниеце'],['1978'],['мелодрама'],['СССР']
['Большая ночь'],"['Кэмпбелл Скотт', 'Стэнли Туччи']",['1996'],['комедия-драма'],['США']
['Большая перемена'],['Алексей Коренев'],"['29 апреля', '2 мая', '1973 года', '1972']","['комедия', 'мелодрама']",['СССР']
['Большая наводка'],['Фрэнк Макдональд'],['1955'],['Фильм нуар'],['США']
['Большая маленькая Я'],['Ян Самюэль'],['2010'],"['мелодрама', 'комедия']","['\xa0', 'Франция', '\xa0', 'Бельгия']"
['Большой приз (фильм)'],['Джон Франкенхаймер'],"['1966', '21 декабря', '1966', '13 октября', '1967']",['драма'],"['\xa0', 'США']"
['Большой риск'],['Стюарт Рэффил'],['1981'],"['приключения', ' / ', 'комедия']","['США', 'Мексика']"
['Большой побег'],['Джон Стёрджес'],['1963'],"['боевик', 'приключения', 'драма', 'исторический', 'триллер', 'военный']","[' ', 'США']"
"['Большой пикник (фильм, 1981)']",['Кшиштоф Рогульский'],['1981'],['комедия'],['Польша']
['Большой рай'],['Томас Безука'],['2000'],['комедийная драма'],['США']
['Большой парад'],['Кинг Видор'],"['5 ноября', '1925']","['драматический фильм', 'немое кино', 'военный фильм', 'романтический фильм']","['\xa0', 'США']"
"['Большой переполох (фильм, 1986)']",['Джон Кассаветис'],['1986'],['комедия'],['США']
['Большой переполох в маленьком Китае'],['Джон Карпентер'],['1986'],"['фантастика', 'боевик', 'комедия']",['США']
['Борьба с искушениями'],['Джонатан Линн'],['2003'],"['комедия', ' ', 'драма', ' ', 'музыкальный фильм']",['США']
['Босиком по городу'],['Эндрю Флеминг'],"['2 февраля', '2014']","['драматический фильм', 'романтическая комедия']","['\xa0', 'США']"
['Босиком по парку (фильм)'],['Джин Сэкс'],['1967'],['комедия'],['США']
['Борьба с моей семьёй'],['Стивен Мерчант'],['2019'],"['драма', 'комедия', 'биография', 'спорт']","['\xa0', 'США', '\xa0', 'Великобритания']"
['Босиком по мостовой (фильм)'],['Тиль Швайгер'],['2005'],"['драма', ' / ', 'мелодрама', ' / ', 'комедия']",['Германия']
['Борьба со льдом'],['Петер Флинт'],['2022'],"['Драма', 'Приключения']","['Исландия', 'Дания']"
['Борьба за существование (фильм)'],['Альфред Деэши'],['1918'],['драма'],['Австро-Венгрия']
['Борцы с преступностью'],['Энцо Барбони'],['1977'],['комедийный боевик'],"[' ', 'США', ' ', 'Италия']"
['Борьба за справедливость: История Нэнси Конн'],['Брэдфорд Мэй'],[],['криминальная драма'],['США']
['Борьба без оружия'],['Сацуо Ямамото'],['1960'],['социальная драма'],['Япония']
['Борьба гигантов'],"['Турин, Виктор Александрович']",['1926'],['драматический фильм'],"['\xa0', 'СССР']"
['Борьба за огонь (фильм)'],['Жан-Жак Анно'],"['1981', 'Борьба за огонь (рассказывает Станислав Дробышевский, ведущая Кристина Егорова)']","['драма', ', ', 'приключения']","['Канада', 'Франция']"
['Борьба за справедливость'],['Джеймс Кич'],[],['драма'],['США']
['Борьба за свободу'],['Дэвид Уорк Гриффит'],['1908'],['вестерн'],['США']
['Борьба в долине'],['Юсеф Шахин'],['1954'],['социальная драма'],"['Египет', 'Египет', 'Франция', 'СССР', 'СССР']"
['Борислав смеётся (фильм)'],['Иосиф Рона'],['1927'],"['драма', ', экранизация']",['СССР']
"['Борис Годунов (фильм, 1987)']",['Борис Небиеридзе'],['1987'],['музыкальный фильм'],['СССР']
"['Борис Годунов (фильм, 2011)']",['Владимир Мирзоев'],['2011'],['драма'],['Россия']
['Борсалино (фильм)'],['Жак Дере'],"['20 мая', '1970']",['гангстерский фильм'],"['Франция', ' ', ' ', 'Италия']"
['Борис Рыжий (фильм)'],['Алёна ван дер Хорст'],['2008'],['документальное кино'],[]
['Борцы за светлое царство III Интернационала'],['Борис Светлов'],['1919'],['агитфильм'],['РСФСР']
['Борцы (фильм)'],['Густав фон Вангенхайм'],['1936'],['политическая драма'],"['\xa0', 'СССР']"
['Борсалино и компания'],['Жак Дере'],['1974'],"['гангстерский фильм', 'драма', 'боевик']","['Франция', ' ', 'Италия', ' ', 'ФРГ']"
"['Борис Годунов (фильм, 1907)']",['Иван Шувалов'],['1907'],"['исторический', ', ', 'драма']",['Российская империя']
"['Борис Годунов (фильм-опера, 1954)']",['Вера Строева'],['1954'],['музыкальная драма'],['СССР']
['Борис без Беатрис'],['Дени Коте'],['2016'],['драматический фильм'],"['\xa0', 'Канада']"
['Борец под чёрной маской'],"['Николай Брешко-Брешковский', 'Владимир Гельгардт']",['1913'],['\n'],['Российская империя']
['Борзые (фильм)'],['Ким Мэннерс'],['1994'],"['криминальный фильм', 'комедия']",['США']
['Борец и клоун'],"['Константин Юдин', 'Борис Барнет']",['1957'],['драма'],"['\xa0', 'СССР']"
"['Борис Годунов (фильм, 1986)']",['Сергей Бондарчук'],['1986'],"['исторический фильм', 'фильм-биография']","['СССР', 'Чехословакия', 'Польша', 'ФРГ']"
"['Борис Годунов (фильм-опера, 1989)']",['Анджей Жулавский'],"['1989', 'Верность']","['фильм-опера', ', ', 'драма']","['Франция', 'Испания', 'Югославия']"
"['Бордель (фильм, 1985)']",['Никос Кундурос'],['1985'],['историческая драма'],['Греция']
['Борджиа (фильм)'],['Антонио Эрнандес'],['2006'],"['исторический фильм', 'биография']","[' ', 'Испания']"
['Боргман (фильм)'],['Алекс ван Вармердам'],['2013'],['триллер'],"['Нидерланды', 'Бельгия', 'Дания']"
['Бордерлендс'],['Элай Рот'],['2024'],"['приключения', ', ', 'боевик']",['США']
"['Бордель (фильм, 1972)']",['Оле Эге'],['1972'],"['комедийный фильм', 'порнофильм']","[' ', 'Дания']"
['Борат'],['Ларри Чарльз'],['2006'],['комедия'],"['\xa0', 'США', '\xa0', 'Великобритания']"
['Борат 2'],[],['2020'],['комедия'],['США']
['Борг/Макинрой'],['Янус Мец Педерсен'],['2017'],"['биографический', 'драма', 'спорт']",['Швеция']
['Бонифаций-сомнамбула'],['Морис Лабро'],"['5 апреля', '1951']",['комедия'],"['\xa0', 'Франция']"
['Бонни и Клайд по-итальянски'],['Стено'],['1982'],['комедия'],['Италия']
['Боны и покой'],['Вит Ольмер'],['1987'],"['драма', ', ', 'криминальный']",['Чехословакия']
['Бонхеффер (фильм)'],['Тодд Комарницки'],[],[],"['\xa0', 'Бельгия', '\xa0', 'Ирландия']"
['Бонни и Клайд (фильм)'],['Артур Пенн'],"['1967', 'Пистолет в левой руке']",['криминальная драма'],"['\xa0', 'США']"
['Бонни и Клайд: Подлинная история'],['Гэри Хоффман'],[],['Драма'],['США']
['Бонни: русский рекорд на соляном озере'],['Дмитрий Бобров'],['2017'],"['документальный', ', ', 'спортивный']","['Россия', ' ', ' ', 'США']"
['Бонсуар'],['Жан-Пьер Моки'],['1994'],['комедия'],['Франция']
['Босоножка и её друзья'],['Леонид Кощеников'],['1975'],[],['СССР']
['Босс ниггер'],['Джек Арнольд'],['1975'],['вестерн'],"['\xa0', 'США']"
['Босоногий'],['Джонни То'],['1993'],"['боевик', 'комедия']",['Гонконг']
['Бостонский душитель'],['Ричард Флейшер'],['1968'],"['драма', 'триллер']",['США']
['Бостонский Блэки и закон'],['Д. Росс Ледерман'],['1946'],"['Детективный фильм', 'Комедия']",['США']
"['Босс (фильм, 1956)']",['Байрон Хэскин'],['1956'],"['Фильм нуар', 'Политическая драма', 'Гангстерский фильм']",['США']
['Босса Нова'],['Бруну Баррету'],['2000'],['Комедия'],['Бразилия']
['Босоногая графиня'],['Джозеф Манкевич'],['1954'],['драма'],['США']
"['Брат (фильм, 1982)']",['Теймураз Баблуани'],['1982'],['драма'],['СССР']
"['Брак по расчёту (фильм, 1966)']",['Станислав Барея'],['1966'],['комедия'],['Польша']
['Брат 2'],['Алексей Балабанов'],['2000'],"['криминальная драма', 'боевик']","['Россия', 'США']"
['Брак по-итальянски'],['Витторио де Сика'],['1964'],"['комедия', 'драма', 'мелодрама']","['Италия', 'Франция']"
['Брак по-имеретински'],"['Нинель Ненова-Цулая', ',', ' ', 'Гено Цулая']",['1981'],['лирическая кинокомедия'],['СССР']
['Браслет-2'],"['Лев Цуцульковский', 'Михаил Шамкович']",['1967'],['Мелодрама'],['СССР']
['Брак короля Густава III'],['Маркус Олссон'],[],[],"['\xa0', 'Швеция']"
"['Брат (фильм, 1997)']",['Алексей Балабанов'],"['1997', '2000']","['криминальная драма', 'русский рок']",['Россия']
['Бремя белого человека (фильм)'],['Десмонд Накано'],['1995'],['драма'],['США']
['Братья Ч'],['Михаил Угаров'],['2014'],['драма'],['Россия']
['Братья Систерс'],['Жак Одиар'],['2018'],['вестерн'],"['США', 'Франция']"
['Братья Сарояны'],"['Хорен Абрамян', 'Аркадий Айрапетян']",['1969'],['драма'],['СССР']
"['Братья по оружию (фильм, 1989)']","['Джордж Блум', 'Александр Эркэди']",['1989'],['боевик'],['США']
"['Братья по оружию (фильм, 1991)']",['Джей Кристиан Ингвордсен'],['1991'],"['военный фильм', ' ', 'боевик', ' ', 'приключенческий фильм']",['США']
['Братья разбойники (фильм)'],['Василий Гончаров'],['1912'],['экранизация'],['Российская империя']
['Братья Рико'],['Фил Карлсон'],['1957'],"['Фильм нуар', 'Гангстерский фильм']",['США']
['Бригада: Наследник'],['Денис Алексеев'],['2012'],['криминальный боевик'],['Россия']
['Брешь (фильм)'],['Джон Суитс'],['2020'],"['фантастика', ' ', ' ', 'боевик', ' ', ' ', 'ужасы']","['\xa0', 'Канада', '\xa0', 'США']"
['Бригадун (фильм)'],['Винсент Миннелли'],['1954'],['музыкальный фильм'],['США']
['Бремя мечты'],['Лес Бланк'],['1982'],['документальный'],['США']
"['Бремя страстей человеческих (фильм, 1934)']",['Джон Кромвелл'],['1934'],"['драма', ', ', 'мелодрама']",['США']
['Бремя жизни'],['Хэйноскэ Госё'],['1935'],"['фильм-драма', ', ', 'комедия']",['Япония']
['Бренда Старр (фильм)'],['Роберт Эллис Миллер'],['1989'],"['приключения', 'комедия']",['США']
['Брестская крепость (фильм)'],['Александр Котт'],"['2010', 'БА-20', 'M-39', 'Мадлен Джабраилова']","['военно', '-', 'историческая', ' ', 'драма']","['Белоруссия', ',', 'Россия']"
['Бритни навсегда'],['Лесли Либман'],"['18 февраля', '2017']",['биография'],"['\xa0', 'США']"
['Брод (фильм)'],"['Андрей Добровольский', 'Георгий Дульцев']",['1987'],['драма'],['СССР']
['Бродвейская мелодия 40-х'],['Норман Таурог'],['1940'],"['комедия', 'мелодрама', 'мюзикл']","['\xa0', 'США']"
['Бродвей Дэнни Роуз'],['Вуди Аллен'],['1984'],['комедия'],['США']
['Бритва (фильм)'],['Брайан Де Пальма'],['1980'],['триллер'],['США']
['Бродвей Билл'],['Фрэнк Капра'],['1934'],"['драма', 'комедия']",['США']
['Бродвейская мелодия'],['Гарри Бомонт'],['1929'],"['мелодрама', ', ', 'мюзикл']",['США']
['Бритоголовые (фильм)'],[],['1992'],"['драма', 'криминальный фильм']",['Австралия']
['Бруна Сурфистинья (фильм)'],['Маркус Балдини'],['2011'],['драма'],['Бразилия']
['Брӱно'],['Ларри Чарльз'],['2009'],['комедия'],"['США', ' ', 'Великобритания']"
['Бруклин (фильм)'],['Джон Кроули'],['2015'],['мелодрама'],"['Ирландия', 'Канада', 'Великобритания']"
['Брошь (телеспектакль)'],['Ю. Кротенко'],['1988'],['драма'],['СССР']
['Брубэйкер'],['Стюарт Розенберг'],['1980'],['драма'],['США']
['Брук. Легенда'],['Даниэль Бенмайор'],['2010'],"['приключения', ' ', 'история']",[]
['Бруклинские полицейские'],['Антуан Фукуа'],['2009'],"['боевик', ', ', 'драма', ', ', 'криминальный фильм']",['США']
['Брошенный умирать'],['Кристофер Харрисон'],['2007'],['слэшер'],['Канада']
['Бросив смертельный взгляд'],['Мартин Кэмпбелл'],"['7 сентября', '1991']","['фильм ужасов', ', ', 'чёрная комедия']","['\xa0', 'США']"
"['Бросок, или Всё началось в субботу']",['Серик Райбаев'],"['1976', 'Бросок, или всё началось в субботу']",['фантастика'],"['\xa0', 'СССР']"
['Бросок кобры'],['Стивен Соммерс'],['2009'],"['боевик', 'фантастика', 'приключения', 'супергероика']","['США', 'Чехия']"
"['Брошенная (фильм, 1949)']",['Джозеф М. Ньюман'],['1949'],['Фильм нуар'],['США']
['Бронсон (фильм)'],['Николас Виндинг Рефн'],['2008'],"['криминальная', ' ', 'драма', 'фильм-биография']",['Великобритания']
"['Бросок (фильм, 1981)']",['Анвар Тураев'],['1981'],['драма'],['СССР']
['Бронксская повесть'],['Роберт де Ниро'],['1993'],['драма'],['США']
['Бронко Билли'],['Клинт Иствуд'],"['1980', '6 ноября', '1980']","['комедийная драма', 'романтическая комедия', 'драматический фильм']","['\xa0', 'США']"
['Бродячая принцесса'],['Кинуё Танака'],['1960'],['драма'],['Япония']
['Бродячие ангелы'],['Элан Смити'],['1980'],['мелодрама'],['США']
['Броненосец «Потёмкин» (фильм)'],['Сергей Эйзенштейн'],['1925'],"['драматическая', ' ', 'киноэпопея']",['СССР']
['Брони: неожиданно взрослые поклонники My Little Pony'],['Лоран Малаке'],['2012'],['документальный фильм'],"['\xa0', 'США']"
['Бродячий автобус'],['Иосиф Хейфиц'],['1989'],['драма'],['СССР']
['Брокер (фильм)'],['Томас Майкл Доннелли'],['1986'],"['криминальный фильм', 'драма', 'триллер']",['США']
['Бронзовая птица (фильм)'],['Николай Калинин'],"['1974', '1975', '1975']","['детский', 'экранизация', 'приключение']",['СССР']
['Бродяга и собака'],[],['1896'],['немое кино'],"['\xa0', 'США']"
['Бродяга Кэнсин (фильм)'],['Кэйдзи Отомо'],['2012'],"['Боевые искусства,', ' Боевики, ', 'Драмы,', ' Исторические']",['США']
['Бродяги Севера (фильм)'],['Игорь Негреску'],['1983'],"['детский фильм', 'приключенческий фильм', 'экранизация']","['\xa0', 'СССР']"
"['Бродяги (фильм, 1997)']",['Вин Дизель'],['1997'],['драматический фильм'],"['\xa0', 'США']"
['Бродяга Кэнсин: Великий киотский пожар'],['Кэйдзи Отомо'],['2014'],"['Боевые искусства,', ' Боевики, ', 'Драмы,', ' Исторические']",['Япония']
['Бродяга Кэнсин: Последняя легенда'],['Кэйдзи Отомо'],['2014'],"['боевые искусства,', ' боевик, ', 'дзидайгэки']",['Япония']
"['Бродяги (фильм, 1960)']",['Фред Циннеман'],['1960'],"['драма', ', ', 'вестерн']","['США', 'Великобритания', 'Австралия']"
"['Бродяги (фильм, 1986)']",['Джон Мактирнан'],['1986'],['триллер'],['США']
['Бродяга Архимед'],['Жиль Гранжье'],['1959'],"['социальная драма', ' ', 'кинокомедия']","['Франция', ' ', 'Италия']"
"['Бродяга (фильм, 1992)']",['Крис Уолас'],['1992'],"['триллер', 'фильм ужасов']","['США', 'Франция']"
"['Бродяга (фильм, 1981)']",['Джек Фиск'],['1981'],['Драма'],['США']
"['Британник (фильм, 2000)']",['Брайан Тренчард-Смит'],['2000'],"['Фильм-катастрофа', 'Боевик', 'Детектив', 'Военный']","['США', ' ', 'Великобритания']"
"['Бритва (фильм, 2014)']",['Алексей Беляков'],['2014'],"['короткометражный фильм', ', ', 'исторический фильм', ', ', 'военный фильм', ', ', 'драма']","['\xa0', 'Россия']"
['Бродяга Генри Ли Лукас'],['Майкл Фейфер'],['2009'],['триллер'],['США']
"['Британник (фильм, 1908)']",['Андре Кальметт'],['1908'],['короткометражный фильм'],['Франция']
"['Бродяга (фильм, 1951)']",['Радж Капур'],['1951'],['драматический фильм'],"['\xa0', 'Индия']"
['Бриллианты. Воровство'],['Рустам Хамдамов'],['2010'],[],['Россия']
['Бриолин 2'],['Патрисия Бёрч'],['1982'],"['мюзикл', 'мелодрама']",['США']
"['Бродяга (фильм, 1915)']",['Чарли Чаплин'],['1915'],['трагикомедия'],['США']
['Бродвейская мелодия 1938 года'],['Рой Дель Рут'],['1937'],['Музыкальный фильм'],['США']
['Британский психопат'],['Джесси В. Джонсон'],['2019'],"['боевик', 'криминал']",[]
['Британский агент'],['Майкл Кёртис'],['1934'],"['мелодрама', ', ', 'шпионский фильм']",['США']
['Бродский не поэт'],['Илья Белов'],['2015'],['документальный фильм'],['Россия']
['Бриолин (фильм)'],['Рэндал Клайзер'],['1978'],['мюзикл'],['США']
['Брцко в Загребе'],['Арсен Маас'],['1917'],['кинокомедия'],"['\xa0', 'Австро-Венгрия']"
['Бруталист'],['Брэди Корбет'],[],['драматический фильм'],"['\xa0', 'США']"
['Бриллианты навсегда'],['Гай Хэмилтон'],['1971'],"['боевик', 'приключенческий фильм', 'триллер']","['Великобритания', 'США']"
['Бриллианты для диктатуры пролетариата (фильм)'],['Григорий Кроманов'],['1975'],['детективный фильм'],['СССР']
['Бриллианты пани Зузы'],['Павел Коморовский'],['1971'],['детектив'],['Польша']
"['Брут (фильм, 2016)']",['Константин Фам'],"['2016', 'Трейлер фильма', 'YouTube']","['Драма', ', ', 'Исторический']","['Россия', 'Украина', 'Белоруссия', 'Румыния', 'США', 'Израиль']"
['Бриллианты (фильм)'],['Менахем Голан'],['1975'],"['приключенческий фильм', 'драма']","[' ', 'Израиль', ' ', 'США']"
['Бриллиантовый полицейский'],['Лес Мэйфилд'],['1999'],"['Комедийный', ' ', 'боевик']",['США']
"['Бум (фильм, 2003)']",['Кайзад Густад'],['2003'],"['боевик', ', ', 'фильм-ограбление', ', ', 'триллер', ', ', 'эротика']","['\xa0', 'Индия']"
"['Бум (фильм, 1963)']",['Витторио Де Сика'],['1963'],['комедия'],['Италия']
"['Бум (фильм, 1980)']",['Клод Пиното'],['1980'],"['комедия', ', ', 'мелодрама', ', ', 'драма']","['\xa0', 'Франция']"
['Бультерьер (фильм)'],['Василий Быстров'],['2022'],['спортивная драма'],['Россия']
['Бульдозер-убийца'],['Джерри Лондон'],['1974'],['Фантастика'],"['\xa0', 'США']"
['Бульдог Драммонд (фильм)'],['Фрэнк Джонс'],['1929'],['детективный'],"['\xa0', 'США']"
['Бульварный роман (фильм)'],['Василий Панин'],['1995'],"['драма', ' / ', 'мелодрама']","['Россия', 'Украина']"
['Бульварный переплёт'],['Александр Муратов'],['2003'],['комедия'],['Россия']
['Быстро и без боли'],['Фатих Акин'],['1998'],"['драма', ' ', 'криминальный фильм', ' ', 'мелодрама']",['Германия']
['Быстрейшая гитара из всех живущих'],['Майкл Д. Мур'],['1967'],"['вестерн', ', ', 'музыкальный фильм']","['\xa0', 'США']"
"['Быстрее, чем кролики']",['Дмитрий Дьяченко'],['2014'],['комедия'],['Россия']
['Быстрее собственной тени'],['Павел Любимов'],['1980'],"['драма', ', ', 'спортивный фильм']",['СССР']
"['Быстрее, давай поженимся!']",['Уильям Дитерле'],['1964'],['драма'],['США']
['Быстрее молнии'],['Николас Гесснер'],['1988'],['приключенческий фильм'],"['Швейцария', ' ', 'ФРГ', ' ', 'Австрия']"
"['Быстрее пули (фильм, 2022)']",['Дэвид Литч'],['2022'],"['боевик', 'комедия']",['США']
"['Быстрее пули (фильм, 2010)']",['Джордж Тиллман мл.'],['2010'],"['боевик', 'драма']",['США']
"['Бэмби (фильм, 2013)']",['Себастьен Лифшиц'],['2013'],['документальный фильм'],"['\xa0', 'Франция']"
"['Бэла (фильм, 1913)']",['Андрей Громов'],['1913'],[],['Российская империя']
['Бэйб: Поросёнок в городе'],['Джордж Миллер'],['1998'],"['семейный', ' ', 'комедийный']","['\xa0', 'Австралия', '\xa0', 'США']"
['Бэзил'],['Радха Бхарадвадж'],['1998'],"['драма', ' / ', 'мелодрама']",['Великобритания']
['Бэйб: Четвероногий малыш'],['Крис Нунен'],"['1995', 'Кинг-Конг']","['комедия', ' / ', 'драма']","['Австралия', 'США']"
['Бьянка (фильм)'],['Нанни Моретти'],['1984'],"['притча', ', ', 'комедия']",['Италия']
['Бьяри (фильм)'],['К. П. Сувиран'],['2011'],['драматический фильм'],"['\xa0', 'Индия']"
['Быть Сальвадором Дали'],['Мэри Хэррон'],"['2022', 'Официальный трейлер\xa0']",['биографический фильм'],['США']
['Быть Рикардо'],['Аарон Соркин'],"['10 декабря', '2021']","['биографический фильм', 'драматический фильм', 'романтический фильм']","['\xa0', 'США']"
['Быть Стэнли Кубриком'],['Брайан У. Кук'],['2005'],"['комедия', ' / ', 'драма']","['Великобритания', ' ', 'Франция']"
"['Быть человеком (фильм, 1994)']",['Билл Форсайт'],['1994'],"['драма', ' ', 'комедия', ' ', 'фэнтези']","['Великобритания', ',', 'Япония']"
['Быть Флинном'],[],['2012'],['драма'],['США']
['Быть Чарли'],['Роб Райнер'],['2015'],['драма'],['США']
['Бьютифул'],['Алехандро Гонсалес Иньярриту'],['2010'],['драма'],"['\xa0', 'Мексика', '\xa0', 'Испания']"
"['Быть матерью, быть женщиной']",['Фумио Камэи'],['1952'],['фильм-драма'],['Япония']
['Быть лишним'],['Алоиз Бренч'],['1976'],['криминально-психологическая драма'],['СССР']
['Быть как все'],['Таназ Эшагиан'],['2008'],['документальное кино'],"['Канада', 'Иран', 'Великобритания', 'США']"
"['Быть или не быть (фильм, 1942)']",['Эрнст Любич'],['1942'],"['антивоенная', ' ', 'комедия']",['США']
